Internal_ID;Short_title;Article_code;EAN;SKU;NL_Geschikt_voor;NL_Resolutie;NL_Helderheid;NL_Contrast;NL_Projectieverhouding_Throw_Ratio;NL_Projectietechnologie;NL_Branduren_gemiddeld;NL_Keystone_Opties;NL_Smart_functies;NL_Beeldverhouding_Aspect_Ratio;NL_Connectiviteit;NL_Input_Lag;NL_Geluidsniveau;NL_WIFI;NL_Afmetingen;NL_Minimale_Schermgrootte_Diagonaal;NL_Maximale_Schermgrootte_Diagonaal;NL_Gewicht;NL_Garantie;NL_plus;NL_min
108626710;"Epson EH-TW7000 - 4K - 3000 Lumen";8715946670867;8715946670867;EPS-V11H961040;"Home Cinema & Gamen";"3840 x 2160    4K UHD";"3000 Lumen";"40.000:1 dynamisch";"1.32 – 2.15:1";3LCD;"3.500 uur / 5.000 uur Eco";"Horizontaal ±30° / Verticaal ±30°";Nee;16:9;"2x HDMI, 2x USB-A, Mini USB-B, 3,5 mm audio-uitgang, RS232C, Bluetooth";-;32dB;Nee;"410 × 310 × 157 mm";"70 inch";"500 inch";"6,6 Kg";"24 Maanden";"Projecteer een indrukwekkend beeld tot 500 inch";"Geen ingebouwde smart functies, eenvoudig uit te breiden met een Google TV of mediaspeler"
109184711;"Optoma UHZ65UST";5055387663596;5055387663596;000000000004513589;"Home Cinema & Gamen";"3840 x 2160    4K UHD";"3500 ANSI Lumen";"2500000:1 ";;;;;;;;;28dB;Nee;"57x38x13 cm";;;11Kg;"36 Maanden";"Ingebouwde NuForce soundbar met DolbyDigital 2.0";"Vrij zwaar"
110660878;"Epson EB-1780W - WXGA - 3200 Lumen";8715946629919;8715946629919;EPS-V11H795040;"Kantoor & Onderweg";"1280 x 800 WXGA";"3000 ANSI Lumen";"10000:1 ";;;;;;;;;32dB;Nee;"29x21x04 cm";;;4,6Kg;;"Overdag goed beeld";"Geen 3D"
115374119;"ViewSonic X10-4K";766907999419;766907999419;;"Home Cinema";"3840 x 2160    4K UHD";"2400 LED Lumen";"3000000:1 ";;;;;;;;;30dB;Ja;;;;6,5Kg;"36 Maanden";"Strak design";"Wel Android maar geen Iphone kabel meegeleverd"
118086844;"Epson EH-TW7100 - 4K - 3000 Lumen";5436310;8715946670843;5436310;"Home Cinema & Gamen";;"3000 ANSI Lumen";"100000:1 ";;;;;;;;;32dB;Nee;"41x31x16 cm";;;6,6Kg;"60 Maanden";3LCD-technologie;"Geen native 4K"
118087560;"Epson EB-W51 - WXGA - 4000 Lumen";8715946680705;8715946680705;;"Kantoor & School";"1280 x 800 WXGA";"4000 ANSI Lumen";"16000:1 ";;;;;;;;;37dB;Nee;"30x23x08 cm";;;2,5Kg;;"Lange levensduur (12.000 uur)";"Speakers niet toereikend voor grote zalen"
118088134;"Epson EH-TW740";8715946680811;8715946680811;A101830;;"1920 x 1080 FULL HD";"3300 ANSI Lumen";"16000:1 ";;;;;;;;;37dB;Nee;"30x25x09 cm";;;2,8Kg;;"Keystone correctie";"Wifi via dongle of chromecast"
118088604;"Epson EH-TW5820";8715946686677;8715946686677;A101828;;"1920 x 1080 FULL HD";"2700 ANSI Lumen";"70000:1 ";;;;;;;;;36dB;;"31x31x12 cm";;;3,8Kg;;"Ingebouwde speakers";"Geen HDMI kabel meegeleverd"
118088933;"Epson EF-11";8715946689005;8715946689005;;"Home Cinema & Onderweg";"1920 x 1080 FULL HD";"1000 ANSI Lumen";"2500000:1 ";;;;;;;;;27dB;;"17x17x06 cm";;;1,2Kg;;"Klein en compact";"Overdag minder goed "
132661184;"Epson EH-LS12000B - 4K - 2700 Lumen";LS11000W-Zwart;8715946700731;EPS-V11HA47040;"Home Cinema & Gamen";"3840 x 2160    4K UHD";"2700 ANSI Lumen";"2500000:1 ";;;;;;;;;25dB;Nee;"52x45x20 cm";;;12,7Kg;"36 Maanden";"Frame interpolation, 4K Super Resolution & ondersteuning voor HDR10+";"Vrij zwaar (12,7kg)"
136674334;"Optoma H190X - HD Ready - Home Cinema Beamer";5055387664845;5055387664845;6293719;"Home Cinema & Gamen";"1280 x 800 WXGA";"3900 ANSI Lumen";"30.000:1 ";;;;;;;;;28dB;"Nee (middels dongle)";"34x21x11 cm";;;3,8Kg;"24 Maanden";"Eenvoudig mee te nemen";"Geen FULL HD"
